1,1,1,1,1
1,1,1,2,2
1,1,1,1,3
1,1,1,2,4
1,1,1,1,1
1,1,1,2,2
1,1,1,1,3
1,1,1,2,4
1,1,1,1,1
1,1,1,2,2
1,1,1,1,3
1,1,1,2,4
1,1,1,1,1
1,1,1,2,2
1,1,1,1,3
1,1,1,2,4
1,1,1,1,1
1,2,1,2,2
1,2,1,1,3
2,1,1,2,4
2,1,1,1,1
2,1,1,2,2
2,1,1,1,3
2,1,1,2,4
2,1,1,1,1
2,1,1,2,2
2,2,1,1,3
2,2,1,2,4
3,1,1,1,1
3,1,1,2,2
3,1,1,1,3
3,1,1,2,4
3,1,1,1,1
3,1,1,2,2
3,1,1,1,3
3,1,1,2,4
3,1,1,1,1
3,1,1,2,2
3,1,1,1,3
3,1,1,2,4
3,1,1,1,1
3,1,1,2,2
3,1,1,1,3
3,1,1,2,4
3,1,1,1,1
3,1,1,2,2
3,1,1,1,3
3,1,1,2,4
3,1,1,1,1
3,1,1,2,2
3,1,1,1,3
3,1,1,2,4
3,2,1,1,1
3,2,1,2,2
4,1,2,1,3
4,1,2,2,4
4,2,2,1,1
4,2,2,2,2
4,2,2,1,3
4,2,2,2,4
4,2,2,1,1
4,2,2,2,2
4,2,2,1,3
5,2,1,2,4
5,2,1,1,1
5,1,1,2,2
5,1,1,1,3
5,1,1,2,4
5,1,1,1,1
5,1,1,2,2
5,1,1,1,3
5,1,1,2,4
5,1,1,1,1
5,1,1,2,2
5,1,1,1,3
6,1,3,2,4
6,1,3,1,1
6,1,3,2,2
6,2,3,1,3
6,2,3,2,4
6,2,3,1,1
7,2,1,2,2
7,2,1,1,3
7,1,1,2,4
7,1,1,1,1
7,1,1,2,2
7,1,1,1,3
7,1,1,2,4
7,1,1,1,1
7,1,1,2,2
7,1,1,1,3
7,1,1,2,4
7,1,1,1,1
7,1,1,2,2
7,1,1,1,3
7,1,1,2,4
7,1,1,1,1
7,1,1,2,2
7,1,1,1,3
7,1,1,2,4
8,1,2,1,1
8,1,2,2,2
8,2,2,1,3
8,2,2,2,4
8,2,2,1,1
8,2,2,2,2
8,2,2,1,3
8,2,2,2,4
8,2,2,1,1
8,2,2,2,2
8,2,2,1,3
8,2,2,2,4
8,2,2,1,1
8,2,2,2,2
8,2,2,1,3
8,2,2,2,4
8,2,2,1,1
8,2,2,1,2
8,2,2,2,3
9,1,3,1,4
9,1,3,2,1
9,1,3,1,2
9,2,3,2,3
9,2,3,1,4
9,2,3,2,1
10,1,2,1,2
10,1,2,2,3
10,2,2,1,4
10,2,2,2,1
10,2,2,1,2
10,2,2,2,3
10,2,2,1,4
10,2,2,2,1
10,2,2,1,2
10,2,2,2,3
10,2,2,1,4
10,2,2,2,1
11,1,1,1,2
11,1,1,2,3
11,1,1,1,4
11,1,1,2,1
11,1,1,1,2
11,2,1,2,3
11,2,1,1,4
11,2,1,2,1
11,2,1,1,2
12,1,2,2,3
12,1,2,1,4
12,2,2,2,1
12,2,2,1,2
12,2,2,2,3
12,2,2,1,4
12,2,2,2,1
12,2,2,1,2
12,2,2,2,3
12,2,2,1,4
12,2,2,2,1
12,2,2,1,2
12,2,2,2,3
12,2,2,1,4
12,2,2,2,1
12,2,2,1,2
12,2,2,2,3
12,2,2,1,4
12,2,2,2,1
12,2,2,1,2
12,2,2,2,3
12,2,2,1,4
12,2,2,2,1
12,2,2,1,2
12,2,2,2,3
12,2,2,1,4
13,1,2,2,1
13,1,2,1,2
13,1,2,2,3
13,1,2,1,4
13,2,2,2,1
13,2,2,1,2
13,2,2,2,3
13,2,2,1,4
13,2,2,2,1
14,1,2,1,2
14,1,2,2,3
14,2,2,1,4
14,2,2,2,1
14,2,2,1,2
14,2,2,2,3
14,2,2,1,4
14,2,2,2,1
14,2,2,1,2
14,2,2,2,3
14,2,2,1,4
14,2,2,2,1
14,2,2,1,2
14,2,2,2,3
14,2,2,1,4
14,2,2,2,1
14,2,2,1,2
14,2,2,2,3
14,2,2,1,4
